YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y6-01,TOTAL,0.0,4166.67,11082.5,2216.5,554.12,1970.77,506.8,651.6,4181.89,1488.94,2692.95,1000.82,1687.0,0.0,43866.34,271.85,44138.19,44138.19,1.0,0,128633.99,132114.47,115778.98,0.0,106481.67,12777.8,0.0,119259.47,319445.0,789714.35,0.0,3
Y6-02,TOTAL,0.0,4166.67,15015.0,3003.0,750.75,2956.15,756.51,972.65,6275.09,1767.13,4507.95,300.86,4467.53,0.0,48333.86,271.85,66034.2,48605.71,0.736069,1,133006.63,133006.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787947.21,0.0,3
Y6-03,TOTAL,0.0,4166.67,16623.75,3324.75,831.19,2956.15,758.37,975.05,6275.09,1777.22,4497.87,1503.16,5669.82,0.0,54003.69,271.85,66059.79,54275.54,0.821612,1,134102.24,134102.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786169.99,0.0,3
Y6-04,TOTAL,0.0,4166.67,16087.5,3217.5,804.38,2956.15,760.24,977.45,6275.09,1787.37,4487.72,1096.69,5263.36,0.0,59267.05,271.85,66085.44,59538.9,0.900938,1,135204.09,135204.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784382.63,0.0,3
Y6-05,TOTAL,0.0,4166.67,16623.75,3324.75,831.19,2956.15,762.12,979.87,6275.09,1797.57,4477.52,1494.6,5661.26,0.0,64928.31,271.85,66111.15,65200.16,0.98622,1,136312.24,136312.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782585.06,0.0,3
Y6-06,TOTAL,0.0,4166.67,16087.5,3217.5,804.38,2956.15,764.0,982.28,6275.09,1807.83,4467.26,1088.11,936.77,0.0,65865.08,271.85,66136.93,66136.93,1.0,0,137426.72,141744.73,116419.36,0.0,107801.22,12936.15,0.0,120737.37,323403.67,1104180.9,0.0,4
Y6-07,TOTAL,0.0,4166.67,22165.0,4433.0,1108.25,3941.53,1017.42,1308.11,8394.22,2091.19,6303.03,1962.48,6129.14,0.0,71994.22,271.85,88239.5,72266.07,0.818976,1,138547.55,138547.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102089.72,0.0,4
Y6-08,TOTAL,0.0,4166.67,22165.0,4433.0,1108.25,3941.53,1019.93,1311.33,8394.22,2103.12,6291.1,1956.74,6123.41,0.0,78117.63,271.85,88273.91,78389.47,0.888025,1,139674.79,139674.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099986.59,0.0,4
Y6-09,TOTAL,0.0,4166.67,21450.0,4290.0,1072.5,3941.53,1022.44,1314.57,8394.22,2115.13,6279.09,1414.74,5581.41,0.0,83699.03,271.85,88308.41,83970.88,0.950882,1,140808.46,140808.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097871.47,0.0,4
Y6-10,TOTAL,0.0,4166.67,22165.0,4433.0,1108.25,3941.53,1024.96,1317.81,8394.22,2127.2,6267.02,1945.23,4372.11,0.0,88071.14,271.85,88342.99,88342.99,1.0,0,141948.6,143688.38,120193.08,0.0,108868.63,13064.24,0.0,121932.87,326605.89,1422350.16,0.0,5
