Year,Month,Unit_ID,Unit_Value,Unit_Debt,Unit_Equity,Unit_LTV,Unit_Monthly_Payment,Unit_Interest_Rate,Is_Feeder,Months_Since_Last_Refi
15,12,4,1200817.75,855272.61,345545.14,71.22,5684.42,6.85,False,15
15,12,5,1194836.1,856863.44,337972.66,71.71,5684.42,6.85,False,13
15,12,6,1202942.09,901444.87,301497.22,74.94,5911.79,6.85,False,0
16,12,0,1155604.14,783516.32,372087.82,67.8,4780.69,5.88,False,27
16,12,1,1170482.95,838224.26,332258.69,71.61,5027.03,5.88,False,12
16,12,2,1203448.15,822003.21,381444.94,68.3,5003.54,5.88,False,25
16,12,3,1223774.2,261337.31,962436.89,21.36,5255.56,6.85,True,54
16,12,4,1237341.77,845337.75,392004.02,68.32,5684.42,6.85,False,27
16,12,5,1231178.18,847041.04,384137.14,68.8,5684.42,6.85,False,25
16,12,6,1239530.72,891958.18,347572.54,71.96,5911.79,6.85,False,12
17,12,0,1190752.94,410334.15,780418.79,34.46,4780.69,5.88,True,39
17,12,1,1206084.31,826842.29,379242.02,68.56,5027.03,5.88,False,24
17,12,2,1240052.18,809931.84,430120.34,65.31,5003.54,5.88,False,37
17,12,3,1260996.46,0.0,1260996.46,0.0,0.0,6.85,False,66
17,12,4,1274976.7,834700.55,440276.15,65.47,5684.42,6.85,False,39
17,12,5,1268625.65,836524.26,432101.39,65.94,5684.42,6.85,False,37
17,12,6,1277232.24,881800.84,395431.4,69.04,5911.79,6.85,False,24
18,12,0,1226970.83,0.0,1226970.83,0.0,0.0,5.88,False,51
18,12,1,1242768.52,814773.33,427995.19,65.56,5027.03,5.88,False,36
18,12,2,1277769.55,797131.85,480637.7,62.38,5003.54,5.88,False,49
18,12,3,1299350.88,0.0,1299350.88,0.0,0.0,6.85,False,78
18,12,4,1313756.34,442526.2,871230.14,33.68,5684.42,6.85,True,51
18,12,5,1307212.11,825263.99,481948.12,63.13,5684.42,6.85,False,49
18,12,6,1316080.48,870925.47,445155.01,66.18,5911.79,6.85,False,36
19,12,0,1264290.33,0.0,1264290.33,0.0,0.0,5.88,False,63
19,12,1,1280568.51,801975.9,478592.61,62.63,5027.03,5.88,False,48
19,12,2,1316634.14,402280.77,914353.37,30.55,5003.54,5.88,True,61
19,12,3,1338871.88,0.0,1338871.88,0.0,0.0,6.85,False,90
19,12,4,1353715.5,0.0,1353715.5,0.0,0.0,6.85,False,63
19,12,5,1346972.22,813207.73,533764.49,60.37,5684.42,6.85,False,61
19,12,6,1356110.33,859281.31,496829.02,63.36,5911.79,6.85,False,48
20,12,0,1302744.93,0.0,1302744.93,0.0,0.0,5.88,False,75
20,12,1,1319518.23,788406.05,531112.18,59.75,5027.03,5.88,False,60
20,12,2,1356680.83,0.0,1356680.83,0.0,0.0,5.88,False,73
20,12,3,1379594.95,0.0,1379594.95,0.0,0.0,6.85,False,102
20,12,4,1394890.05,0.0,1394890.05,0.0,0.0,6.85,False,75
20,12,5,1387941.67,198649.68,1189291.99,14.31,5684.42,6.85,True,73
20,12,6,1397357.72,846814.0,550543.72,60.6,5911.79,6.85,False,60
21,12,0,1342369.16,0.0,1342369.16,0.0,0.0,5.88,False,87
21,12,1,1359652.64,758650.96,601001.68,55.8,5027.03,5.88,True,72
21,12,2,1397945.57,0.0,1397945.57,0.0,0.0,5.88,False,85
21,12,3,1421556.65,0.0,1421556.65,0.0,0.0,6.85,False,114
21,12,4,1437316.96,0.0,1437316.96,0.0,0.0,6.85,False,87
21,12,5,1430157.24,0.0,1430157.24,0.0,0.0,6.85,False,85
21,12,6,1439859.69,0.0,1439859.69,0.0,0.0,6.85,False,72
22,12,0,1383198.6,0.0,1383198.6,0.0,0.0,5.88,False,99
22,12,1,1401007.78,0.0,1401007.78,0.0,0.0,5.88,False,84
22,12,2,1440465.42,0.0,1440465.42,0.0,0.0,5.88,False,97
22,12,3,1464794.66,0.0,1464794.66,0.0,0.0,6.85,False,126
22,12,4,1481034.34,0.0,1481034.34,0.0,0.0,6.85,False,99
22,12,5,1473656.84,0.0,1473656.84,0.0,0.0,6.85,False,97
22,12,6,1483654.4,0.0,1483654.4,0.0,0.0,6.85,False,84
23,12,0,1425269.91,0.0,1425269.91,0.0,0.0,5.88,False,111
23,12,1,1443620.77,0.0,1443620.77,0.0,0.0,5.88,False,96
23,12,2,1484278.56,0.0,1484278.56,0.0,0.0,5.88,False,109
23,12,3,1509347.79,0.0,1509347.79,0.0,0.0,6.85,False,138
23,12,4,1526081.41,0.0,1526081.41,0.0,0.0,6.85,False,111
23,12,5,1518479.52,0.0,1518479.52,0.0,0.0,6.85,False,109
23,12,6,1528781.17,0.0,1528781.17,0.0,0.0,6.85,False,96
24,12,0,1468620.86,0.0,1468620.86,0.0,0.0,5.88,False,123
24,12,1,1487529.87,0.0,1487529.87,0.0,0.0,5.88,False,108
24,12,2,1529424.31,0.0,1529424.31,0.0,0.0,5.88,False,121
24,12,3,1555256.04,0.0,1555256.04,0.0,0.0,6.85,False,150
24,12,4,1572498.64,0.0,1572498.64,0.0,0.0,6.85,False,123
24,12,5,1564665.53,0.0,1564665.53,0.0,0.0,6.85,False,121
24,12,6,1575280.51,0.0,1575280.51,0.0,0.0,6.85,False,108
25,12,0,1513290.37,0.0,1513290.37,0.0,0.0,5.88,False,135
25,12,1,1532774.52,0.0,1532774.52,0.0,0.0,5.88,False,120
25,12,2,1575943.21,0.0,1575943.21,0.0,0.0,5.88,False,133
25,12,3,1602560.64,0.0,1602560.64,0.0,0.0,6.85,False,162
25,12,4,1620327.69,0.0,1620327.69,0.0,0.0,6.85,False,135
