YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,HY Interest (Cash),HY Interest (Rainy),HY Interest (Capex),Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y7-01,TOTAL,0.0,4166.67,14105.0,2821.0,705.25,2029.89,793.38,892.55,5714.73,1981.33,3733.4,1148.2,0.0,122.4,1.49,5314.87,0.0,41465.34,439.66,56929.29,41905.0,0.736089,1,173634.82,173634.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652045.1,0.0,2
Y7-02,TOTAL,0.0,4166.67,12740.0,2548.0,637.0,2029.89,795.34,894.75,5714.73,1992.64,3722.09,120.29,0.0,127.24,1.35,4286.96,0.0,45879.53,441.01,56954.24,46320.55,0.813294,1,174810.63,174810.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650052.46,0.0,2
Y7-03,TOTAL,0.0,4166.67,14105.0,2821.0,705.25,2029.89,797.3,896.96,5714.73,2004.01,3710.72,1139.87,0.0,155.86,1.5,5306.54,0.0,51341.94,442.51,56979.25,51784.45,0.90883,1,175993.16,175993.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648048.45,0.0,2
Y7-04,TOTAL,0.0,4166.67,13650.0,2730.0,682.5,2029.89,799.26,899.17,5714.73,2015.45,3699.28,794.45,0.0,168.8,1.45,4961.11,0.0,56471.85,443.97,57004.32,56915.81,0.998447,1,177182.43,177182.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646033.0,0.0,2
Y7-05,TOTAL,0.0,4166.67,14105.0,2821.0,705.25,2029.89,801.24,901.39,5714.73,2026.96,3687.77,1131.51,0.0,191.85,1.51,19.76,0.0,56683.46,445.47,57029.45,57128.93,1.001744,0,180817.14,186095.55,160560.92,0.0,148070.83,17768.5,0.0,165839.33,444212.49,1088218.53,0.0,3
Y7-06,TOTAL,0.0,4166.67,20475.0,4095.0,1023.75,3044.83,1198.07,1347.83,8625.47,2413.56,6211.91,1140.05,0.0,186.36,1.46,5306.72,0.0,62176.53,446.94,85643.18,62623.47,0.731214,1,182300.17,182300.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085804.97,0.0,3
Y7-07,TOTAL,0.0,4166.67,21157.5,4231.5,1057.88,3044.83,1201.02,1351.15,8625.47,2427.34,6198.14,1645.65,0.0,211.23,1.52,5812.31,0.0,68200.08,448.46,85680.85,68648.54,0.801212,1,183791.66,183791.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083377.63,0.0,3
Y7-08,TOTAL,0.0,4166.67,21157.5,4231.5,1057.88,3044.83,1203.98,1354.48,8625.47,2441.19,6184.28,1639.35,0.0,231.69,1.52,5806.02,0.0,74237.79,449.98,85718.62,74687.77,0.871313,1,185291.67,185291.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080936.44,0.0,3
Y7-09,TOTAL,0.0,4166.67,20475.0,4095.0,1023.75,3044.83,1206.95,1357.82,8625.47,2455.13,6170.35,1121.17,0.0,244.07,1.48,5287.84,0.0,79769.7,451.46,85756.48,80221.16,0.935453,1,186800.24,186800.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078481.31,0.0,3
Y7-10,TOTAL,0.0,4166.67,21157.5,4231.5,1057.88,3044.83,1209.93,1361.17,8625.47,2469.14,6156.33,1626.72,0.0,271.0,1.53,5407.74,0.0,85448.44,452.99,85794.43,85901.43,1.001247,0,188317.43,188703.07,167508.82,0.0,149905.77,17988.69,0.0,167894.46,449717.31,1525729.49,0.0,4
Y7-11,TOTAL,0.0,4166.67,27300.0,5460.0,1365.0,4059.78,1612.66,1814.25,11572.29,2862.91,8709.37,1416.03,0.0,280.93,1.49,5582.69,0.0,91312.06,454.48,114699.82,91766.54,0.800058,1,189843.27,189843.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522866.57,0.0,4
Y7-12,TOTAL,0.0,4166.67,28210.0,5642.0,1410.5,4059.78,1616.64,1818.72,11572.29,2879.26,8693.03,2090.08,0.0,310.21,1.54,6256.74,0.0,97879.01,456.03,114750.53,98335.04,0.856946,1,191377.82,191377.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519987.32,0.0,4
Y8-01,TOTAL,0.0,4166.67,28210.0,5642.0,1410.5,4181.57,1620.63,1823.21,11572.29,2895.69,8676.59,1959.81,0.0,332.52,1.55,6126.48,0.0,104338.01,457.58,115532.13,104795.59,0.907069,1,220248.39,220248.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517091.62,0.0,4
Y8-02,TOTAL,0.0,4166.67,25480.0,5096.0,1274.0,4181.57,1624.62,1827.7,11572.29,2912.22,8660.06,-96.18,0.0,320.16,1.4,4070.48,0.0,108728.66,458.98,115583.09,109187.64,0.944668,1,222086.06,222086.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514179.4,0.0,4
Y8-03,TOTAL,0.0,4166.67,28210.0,5642.0,1410.5,4181.57,1628.63,1832.21,11572.29,2928.85,8643.44,1942.8,0.0,369.38,1.56,6109.47,0.0,115207.5,460.54,115634.18,115668.04,1.000293,0,223934.22,223934.22,168735.41,0.0,150656.61,18078.79,0.0,168735.41,451969.84,1963220.39,0.0,5
Y8-04,TOTAL,0.0,4166.67,34125.0,6825.0,1706.25,5226.96,2034.4,2288.7,14533.86,3327.14,11206.72,1509.83,0.0,378.76,1.51,5676.5,0.0,121262.76,462.05,144849.51,121724.82,0.840354,1,229089.82,229089.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959893.25,0.0,5
Y8-05,TOTAL,0.0,4166.67,35262.5,7052.5,1763.12,5226.96,2039.42,2294.34,14533.86,3346.14,11187.72,2352.29,0.0,411.96,1.57,6518.96,0.0,128193.68,463.62,144913.48,128657.31,0.887822,1,231244.95,231244.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956547.11,0.0,5
Y8-06,TOTAL,0.0,4166.67,34125.0,6825.0,1706.25,5226.96,2044.45,2300.0,14533.86,3365.24,11168.62,1488.48,0.0,421.46,1.52,5655.15,0.0,134270.29,465.15,144977.61,134735.44,0.929353,1,233412.38,233412.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953181.87,0.0,5
Y8-07,TOTAL,0.0,4166.67,35262.5,7052.5,1763.12,5226.96,2049.49,2305.67,14533.86,3384.45,11149.41,2330.89,0.0,456.15,1.58,6497.56,0.0,141224.0,466.73,145041.9,141690.72,0.976895,1,235592.19,235592.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949797.43,0.0,5
Y8-08,TOTAL,0.0,4166.67,35262.5,7052.5,1763.12,5226.96,2054.54,2311.36,14533.86,3403.77,11130.09,2320.15,0.0,479.77,1.59,3056.59,0.0,144760.36,468.31,145106.35,145228.67,1.000843,0,237784.44,241214.67,167396.2,0.0,152523.6,18302.83,0.0,170826.43,457570.79,2403964.45,0.0,6
Y8-09,TOTAL,0.0,4166.67,40950.0,8190.0,2047.5,6272.36,2466.34,2774.63,17532.14,3809.51,13722.63,1667.04,0.0,475.92,1.54,5833.7,0.0,151069.99,469.85,174618.76,151539.84,0.867833,1,239989.2,239989.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400154.95,0.0,6
Y8-10,TOTAL,0.0,4166.67,42315.0,8463.0,2115.75,6272.36,2472.42,2781.47,17532.14,3831.25,13700.88,2677.86,0.0,513.22,1.6,6844.53,0.0,158427.74,471.45,174696.31,158899.19,0.909574,1,242206.55,242206.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396323.7,0.0,6
Y8-11,TOTAL,0.0,4166.67,40950.0,8190.0,2047.5,6272.36,2478.52,2788.33,17532.14,3853.12,13679.01,1641.16,0.0,520.86,1.55,5807.82,0.0,164756.42,473.0,174774.06,165229.42,0.945389,1,244436.56,244436.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392470.58,0.0,6
Y8-12,TOTAL,0.0,4166.67,42315.0,8463.0,2115.75,6272.36,2484.63,2795.21,17532.14,3875.12,13657.02,2651.92,0.0,559.72,1.61,6818.58,0.0,172134.72,474.61,174852.0,172609.33,0.987174,1,246679.29,246679.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2388595.46,0.0,6
Y9-01,TOTAL,0.0,4166.67,42315.0,8463.0,2115.75,6460.53,2490.76,2802.1,17532.14,3897.24,13634.9,2450.72,0.0,584.79,1.61,2993.65,0.0,175713.16,476.22,176059.15,176189.38,1.00074,0,298945.45,302569.19,168010.93,0.0,153245.24,18389.43,0.0,171634.67,459735.73,2844433.96,0.0,7
Y9-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,7537.28,2905.56,3268.75,20544.6,4307.62,16236.98,-813.69,0.0,539.17,1.46,3352.98,0.0,179605.32,477.68,205883.1,180083.0,0.874686,1,306514.29,306514.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840126.34,0.0,7
Y9-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7537.28,2912.72,3276.81,20544.6,4332.21,16212.39,2754.21,0.0,610.17,1.62,6920.88,0.0,187136.36,479.3,205974.47,187615.66,0.910869,1,309381.99,309381.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835794.13,0.0,7
Y9-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7537.28,2919.91,3284.89,20544.6,4356.94,16187.66,1544.57,0.0,615.24,1.58,5711.24,0.0,193462.84,480.88,206066.06,193943.72,0.941173,1,312266.06,312266.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2831437.19,0.0,7
Y9-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7537.28,2927.11,3293.0,20544.6,4381.81,16162.79,2723.64,0.0,657.24,1.63,6890.31,0.0,201010.4,482.51,206157.87,201492.91,0.977372,1,315166.6,315166.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827055.38,0.0,7
Y9-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7537.28,2934.33,3301.12,20544.6,4406.82,16137.77,1513.93,0.0,660.86,1.59,4232.67,0.0,205903.93,484.1,206249.92,206388.02,1.00067,0,318083.69,319531.61,0.0,1447.92,0.0,0.0,0.0,0.0,0.0,2821200.64,0.0,7
Y9-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7537.28,2941.56,3309.26,20544.6,4440.24,16104.35,2692.93,0.0,699.51,1.64,0.0,0.0,206603.44,485.74,206342.19,207089.18,1.00362,0,321017.43,327877.02,0.0,6859.59,0.0,0.0,0.0,0.0,0.0,2809900.8,0.0,7
Y9-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7537.28,2948.82,3317.42,20544.6,4504.75,16039.85,2677.51,0.0,701.89,1.65,0.0,0.0,207305.32,487.39,206434.68,207792.71,1.006579,0,323967.92,330812.1,0.0,6844.18,0.0,0.0,0.0,0.0,0.0,2798551.88,0.0,7
Y9-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7537.28,2956.09,3325.6,20544.6,4569.53,15975.07,1467.68,0.0,681.55,1.6,0.0,0.0,207986.87,489.0,206527.41,208475.87,1.009434,0,331942.81,337577.16,0.0,5634.35,0.0,0.0,0.0,0.0,0.0,2788348.0,0.0,7
Y9-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7537.28,2963.38,3333.8,20544.6,4627.78,15916.82,2646.56,0.0,706.59,1.66,0.0,0.0,208693.46,490.66,206620.36,209184.11,1.012408,0,334955.67,341768.9,0.0,6813.23,0.0,0.0,0.0,0.0,0.0,2776907.0,0.0,7
Y9-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7537.28,2970.69,3342.03,20544.6,4693.09,15851.51,1436.66,0.0,686.12,1.61,0.0,0.0,209379.57,492.27,206713.55,209871.84,1.015279,0,342970.64,348573.97,0.0,5603.32,0.0,0.0,0.0,0.0,0.0,2766610.59,0.0,7
Y9-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7537.28,2978.02,3350.27,20544.6,4751.86,15792.74,2615.46,0.0,711.32,1.67,0.0,0.0,210090.89,493.94,206806.96,210584.83,1.018268,0,350146.14,356928.27,0.0,6782.13,0.0,0.0,0.0,0.0,0.0,2755076.6,0.0,7
Y10-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,2985.36,3358.53,20544.6,4817.7,15726.9,2373.74,0.0,713.73,1.68,0.0,0.0,210804.62,495.62,208257.31,211300.24,1.014611,0,442517.36,449057.77,0.0,6540.4,0.0,0.0,0.0,0.0,0.0,2743718.49,0.0,7
Y10-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,7763.4,2992.72,3366.81,20544.6,4882.54,15662.06,-1225.03,0.0,646.85,1.52,0.0,0.0,211451.48,497.14,208351.19,211948.62,1.017266,0,450827.55,453769.19,0.0,2941.63,0.0,0.0,0.0,0.0,0.0,2735894.32,0.0,7
Y10-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,3000.1,3375.12,20544.6,4927.2,15617.4,2342.41,0.0,718.36,1.69,0.0,0.0,212169.83,498.83,208445.29,212668.66,1.020261,0,456552.13,463061.2,0.0,6509.07,0.0,0.0,0.0,0.0,0.0,2724458.05,0.0,7
Y10-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7763.4,3007.5,3383.44,20544.6,4992.48,15552.11,1132.31,0.0,697.54,1.64,0.0,0.0,212867.38,500.47,208539.63,213367.85,1.023153,0,464919.51,470218.49,0.0,5298.98,0.0,0.0,0.0,0.0,0.0,2714166.59,0.0,7
Y10-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,3014.92,3391.79,20544.6,5051.23,15493.37,2310.92,0.0,723.17,1.7,0.0,0.0,213590.54,502.17,208634.2,214092.71,1.026163,0,472449.29,478926.87,0.0,6477.59,0.0,0.0,0.0,0.0,0.0,2702637.77,0.0,7
Y10-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7763.4,3022.36,3400.15,20544.6,5117.04,15427.56,1100.75,0.0,702.22,1.65,0.0,0.0,214292.76,503.82,208729.01,214796.58,1.029069,0,480884.38,486151.79,0.0,5267.41,0.0,0.0,0.0,0.0,0.0,2692253.32,0.0,7
Y10-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,3029.81,3408.54,20544.6,5176.32,15368.28,2279.28,0.0,728.01,1.71,0.0,0.0,215020.77,505.53,208824.04,215526.3,1.032095,0,488482.19,494928.14,0.0,6445.95,0.0,0.0,0.0,0.0,0.0,2680631.05,0.0,7
Y10-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,3037.28,3416.94,20544.6,5242.66,15301.94,2263.4,0.0,730.48,1.72,0.0,0.0,215751.25,507.25,208919.32,216258.5,1.035129,0,496985.66,503415.73,0.0,6430.07,0.0,0.0,0.0,0.0,0.0,2668958.32,0.0,7
Y10-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7763.4,3044.77,3425.37,20544.6,5309.29,15235.3,1053.11,0.0,709.32,1.67,0.0,0.0,216460.57,508.92,209014.82,216969.49,1.038058,0,505526.04,510745.82,0.0,5219.78,0.0,0.0,0.0,0.0,0.0,2658429.25,0.0,7
Y10-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,3052.28,3433.82,20544.6,5369.4,15175.2,2231.53,0.0,735.37,1.73,0.0,0.0,217195.94,510.65,209110.57,217706.59,1.041108,0,513229.67,519627.86,0.0,6398.2,0.0,0.0,0.0,0.0,0.0,2646661.66,0.0,7
Y10-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7763.4,3059.81,3442.29,20544.6,5436.57,15108.03,1021.16,0.0,714.07,1.68,0.0,0.0,217910.01,512.33,209206.54,218422.33,1.044051,0,521839.46,527027.28,0.0,5187.82,0.0,0.0,0.0,0.0,0.0,2636037.26,0.0,7
Y10-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7763.4,3067.36,3450.78,20544.6,5497.22,15047.38,2199.5,0.0,740.3,1.74,0.0,0.0,218650.31,514.07,209302.76,219164.37,1.047116,0,529612.83,535978.99,0.0,6366.16,0.0,0.0,0.0,0.0,0.0,2624173.88,0.0,7
Y11-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3074.92,3459.29,20544.6,5564.94,14979.66,1950.52,0.0,742.81,1.75,0.0,0.0,219393.12,515.81,210796.63,219908.93,1.043228,0,611592.62,617709.81,0.0,6117.19,0.0,0.0,0.0,0.0,0.0,2612491.76,0.0,7
Y11-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,7996.3,3082.5,3467.82,20544.6,5631.62,14912.97,-1648.72,0.0,673.21,1.58,0.0,0.0,220066.32,517.4,210893.32,220583.72,1.045949,0,620139.88,622657.83,0.0,2517.95,0.0,0.0,0.0,0.0,0.0,2604342.19,0.0,7
Y11-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3090.11,3476.37,20544.6,5678.14,14866.45,1918.25,0.0,747.62,1.76,0.0,0.0,220813.95,519.15,210990.25,221333.1,1.049021,0,626102.54,632187.45,0.0,6084.92,0.0,0.0,0.0,0.0,0.0,2592579.13,0.0,7
Y11-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7996.3,3097.73,3484.94,20544.6,5745.29,14799.31,707.68,0.0,725.96,1.71,0.0,0.0,221539.91,520.86,211087.41,222060.77,1.051985,0,634709.01,639583.36,0.0,4874.35,0.0,0.0,0.0,0.0,0.0,2581959.5,0.0,7
Y11-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3105.37,3493.54,20544.6,5805.91,14738.69,1885.82,0.0,752.63,1.77,0.0,0.0,222292.54,522.63,211184.82,222815.17,1.055072,0,642478.9,648531.38,0.0,6052.49,0.0,0.0,0.0,0.0,0.0,2570101.1,0.0,7
Y11-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7996.3,3113.03,3502.15,20544.6,5873.6,14670.99,675.17,0.0,730.82,1.72,0.0,0.0,223023.36,524.35,211282.47,223547.71,1.058051,0,651155.13,655996.96,0.0,4841.84,0.0,0.0,0.0,0.0,0.0,2559385.66,0.0,7
Y11-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3120.7,3510.79,20544.6,5934.77,14609.83,1853.23,0.0,757.67,1.78,0.0,0.0,223781.03,526.13,211380.36,224307.16,1.061154,0,658995.11,665015.01,0.0,6019.9,0.0,0.0,0.0,0.0,0.0,2547430.99,0.0,7
Y11-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3128.4,3519.45,20544.6,6003.01,14541.59,1836.88,0.0,760.24,1.79,0.0,0.0,224541.28,527.92,211478.49,225069.19,1.064265,0,667741.77,673745.32,0.0,6003.54,0.0,0.0,0.0,0.0,0.0,2535424.44,0.0,7
Y11-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7996.3,3136.12,3528.13,20544.6,6071.55,14473.05,626.1,0.0,738.22,1.74,0.0,0.0,225279.49,529.65,211576.86,225809.14,1.067268,0,676526.4,681319.17,0.0,4792.77,0.0,0.0,0.0,0.0,0.0,2524560.12,0.0,7
Y11-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3143.85,3536.83,20544.6,6133.57,14411.03,1804.04,0.0,765.33,1.8,0.0,0.0,226044.83,531.45,211675.48,226576.28,1.070395,0,684475.31,690446.02,0.0,5970.71,0.0,0.0,0.0,0.0,0.0,2512455.84,0.0,7
Y11-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,7996.3,3151.6,3545.55,20544.6,6202.66,14341.94,593.19,0.0,743.16,1.75,0.0,0.0,226787.99,533.2,211774.33,227321.19,1.073412,0,693331.44,698091.3,0.0,4759.86,0.0,0.0,0.0,0.0,0.0,2501493.32,0.0,7
Y11-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,7996.3,3159.38,3554.3,20544.6,6265.24,14279.36,1771.05,0.0,770.46,1.81,0.0,0.0,227558.44,535.01,211873.44,228093.45,1.076555,0,701352.2,707289.92,0.0,5937.72,0.0,0.0,0.0,0.0,0.0,2489290.37,0.0,7
Y12-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3167.17,3563.06,20544.6,6334.9,14209.7,1514.6,0.0,773.08,1.82,0.0,0.0,228331.52,536.83,213412.12,228868.35,1.072424,0,785779.44,791460.72,0.0,5681.27,0.0,0.0,0.0,0.0,0.0,2477274.2,0.0,7
Y12-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,8236.19,3174.98,3571.85,20544.6,6403.49,14141.11,-2085.12,0.0,700.63,1.65,0.0,0.0,229032.15,538.47,213511.71,229570.63,1.075213,0,794571.11,796652.65,0.0,2081.55,0.0,0.0,0.0,0.0,0.0,2468789.16,0.0,7
Y12-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3182.81,3580.66,20544.6,6451.92,14092.67,1481.37,0.0,778.08,1.83,0.0,0.0,229810.24,540.3,213611.55,230350.54,1.078362,0,800779.21,806427.24,0.0,5648.03,0.0,0.0,0.0,0.0,0.0,2456689.21,0.0,7
Y12-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8236.19,3190.66,3589.49,20544.6,6521.0,14023.6,270.31,0.0,755.54,1.78,0.0,0.0,230565.78,542.08,213711.63,231107.86,1.0814,0,809632.18,814069.15,0.0,4436.98,0.0,0.0,0.0,0.0,0.0,2445731.23,0.0,7
Y12-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3198.53,3598.34,20544.6,6583.55,13961.05,1447.96,0.0,783.29,1.84,0.0,0.0,231349.07,543.92,213811.96,231892.99,1.084565,0,817649.61,823264.24,0.0,5614.63,0.0,0.0,0.0,0.0,0.0,2433533.06,0.0,7
Y12-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8236.19,3206.42,3607.22,20544.6,6653.18,13891.42,236.83,0.0,760.6,1.79,0.0,0.0,232109.67,545.71,213912.54,232655.38,1.087619,0,826574.44,830977.93,0.0,4403.49,0.0,0.0,0.0,0.0,0.0,2422476.39,0.0,7
Y12-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3214.33,3616.12,20544.6,6716.29,13828.3,1414.4,0.0,788.54,1.85,0.0,0.0,232898.2,547.56,214013.36,233445.77,1.0908,0,834664.08,840245.15,0.0,5581.06,0.0,0.0,0.0,0.0,0.0,2410179.03,0.0,7
Y12-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3222.25,3625.03,20544.6,6786.49,13758.11,1397.55,0.0,791.22,1.86,0.0,0.0,233689.42,549.42,214114.44,234238.84,1.093989,0,843661.48,849225.7,0.0,5564.22,0.0,0.0,0.0,0.0,0.0,2397828.32,0.0,7
Y12-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8236.19,3230.2,3633.97,20544.6,6856.99,13687.6,186.29,0.0,768.29,1.81,0.0,0.0,234457.71,551.23,214215.76,235008.95,1.097067,0,852697.91,857050.86,0.0,4352.95,0.0,0.0,0.0,0.0,0.0,2386618.37,0.0,7
Y12-10,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3238.17,3642.94,20544.6,6920.98,13623.61,1363.73,0.0,796.51,1.87,0.0,0.0,235254.23,553.1,214317.33,235807.33,1.100272,0,860899.7,866430.1,0.0,5530.4,0.0,0.0,0.0,0.0,0.0,2374166.99,0.0,7
Y12-11,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8236.19,3246.15,3651.92,20544.6,6992.06,13552.54,152.39,0.0,773.44,1.82,0.0,0.0,236027.67,554.92,214419.16,236582.59,1.103365,0,870009.79,874328.84,0.0,4319.06,0.0,0.0,0.0,0.0,0.0,2362855.87,0.0,7
Y12-12,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8236.19,3254.16,3660.93,20544.6,7056.63,13487.97,1329.75,0.0,801.85,1.89,0.0,0.0,236829.51,556.81,214521.23,237386.32,1.106587,0,878285.6,883782.02,0.0,5496.42,0.0,0.0,0.0,0.0,0.0,2350302.83,0.0,7
Y13-01,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3262.18,3669.96,20544.6,7128.28,13416.31,1065.61,0.0,804.57,1.89,0.0,0.0,237634.09,558.7,216106.07,238192.78,1.102203,0,965233.96,970466.23,0.0,5232.28,0.0,0.0,0.0,0.0,0.0,2337942.27,0.0,7
Y13-02,TOTAL,0.0,4166.67,44590.0,8918.0,2229.5,8483.28,3270.23,3679.01,20544.6,7198.84,13345.75,-2534.61,0.0,729.18,1.71,0.0,0.0,238363.26,560.41,216208.65,238923.68,1.105061,0,974277.6,975909.65,0.0,1632.06,0.0,0.0,0.0,0.0,0.0,2329111.37,0.0,7
Y13-03,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3278.29,3688.08,20544.6,7249.25,13295.34,1031.38,0.0,809.78,1.9,0.0,0.0,239173.05,562.32,216311.48,239735.36,1.108288,0,980738.75,985936.79,0.0,5198.04,0.0,0.0,0.0,0.0,0.0,2316664.07,0.0,7
Y13-04,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8483.28,3286.38,3697.18,20544.6,7320.31,13224.29,-180.18,0.0,786.32,1.85,0.0,0.0,239959.37,564.17,216414.57,240523.53,1.111402,0,989845.85,993832.33,0.0,3986.49,0.0,0.0,0.0,0.0,0.0,2305357.28,0.0,7
Y13-05,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3294.48,3706.3,20544.6,7384.85,13159.75,996.97,0.0,815.2,1.92,0.0,0.0,240774.57,566.08,216517.91,241340.66,1.114645,0,998118.49,1003282.13,0.0,5163.64,0.0,0.0,0.0,0.0,0.0,2292808.79,0.0,7
Y13-06,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8483.28,3302.61,3715.44,20544.6,7456.48,13088.12,-214.67,0.0,791.59,1.86,0.0,0.0,241566.16,567.94,216621.51,242134.1,1.117775,0,1007299.63,1011251.63,0.0,3952.0,0.0,0.0,0.0,0.0,0.0,2281400.32,0.0,7
Y13-07,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3310.75,3724.6,20544.6,7521.6,13022.99,962.4,0.0,820.66,1.93,0.0,0.0,242386.82,569.87,216725.36,242956.7,1.121035,0,1015646.67,1020775.74,0.0,5129.06,0.0,0.0,0.0,0.0,0.0,2268749.65,0.0,7
Y13-08,TOTAL,0.0,4166.67,49367.5,9873.5,2468.38,8483.28,3318.92,3733.79,20544.6,7593.82,12950.78,945.05,0.0,823.45,1.94,0.0,0.0,243210.28,571.81,216829.46,243782.08,1.124303,0,1024902.57,1030014.28,0.0,5111.71,0.0,0.0,0.0,0.0,0.0,2256044.12,0.0,7
Y13-09,TOTAL,0.0,4166.67,47775.0,9555.0,2388.75,8483.28,3327.11,3742.99,20544.6,7666.34,12878.25,-266.72,0.0,799.6,1.88,0.0,0.0,244009.87,573.69,216933.83,244583.56,1.127457,0,1034198.61,1038098.55,0.0,3899.94,0.0,0.0,0.0,0.0,0.0,2244477.83,0.0,7
